id,first_name,last_name,email,phone,date_of_birth,gender,loyalty_tier,is_active,created_at
1,Rhonda,Brown,rhonda.brown5685@gmail.com,(719) 405-4781,1975-10-09,F,bronze,1,2021-01-05T19:28:47Z
2,Philip,Silva,philip.silva5230@gmail.com,(251) 404-9580,1988-04-26,M,bronze,0,2021-01-07T09:45:38Z
3,Lillian,Webb,lillian.webb6833@gmail.com,(704) 624-1368,1984-09-02,F,bronze,1,2021-01-08T23:22:02Z
4,Tucker,Morris,tucker.morris1164@yahoo.com,(904) 981-1780,1957-11-27,M,bronze,1,2021-01-17T04:42:45Z
5,Aaron,Williamson,aaron.williamson3244@icloud.com,(801) 286-2504,2002-03-27,M,silver,1,2021-01-17T20:40:23Z
6,Bethany,Grant,bethany.grant757@gmail.com,(415) 340-4075,1981-04-19,F,silver,1,2021-01-21T17:33:49Z
7,Kenneth,Aguilar,kenneth.aguilar1685@gmail.com,(212) 443-3982,1967-08-10,M,bronze,1,2021-01-22T08:48:58Z
8,Mary,Barnes,mary.barnes3505@amd.com,(303) 439-2885,1973-03-16,F,silver,1,2021-01-23T09:16:46Z
9,Levi,Cooper,levi.cooper2006@gmail.com,(712) 307-0818,1976-04-09,M,bronze,1,2021-01-23T21:27:14Z
10,Laurie,Gutierrez,laurie.gutierrez417@hotmail.com,(713) 846-8081,1996-06-03,F,bronze,1,2021-01-25T18:04:51Z
11,Peter,Stone,peter.stone8834@google.com,(518) 358-3009,1985-11-28,M,bronze,1,2021-01-26T23:13:58Z
12,Bonnie,Fisher,bonnie.fisher1074@gmail.com,(517) 825-3529,1994-12-26,F,silver,1,2021-01-26T23:35:37Z
13,Gabriel,Reyes,gabriel.reyes8297@gmail.com,(619) 537-5265,1973-01-14,M,silver,1,2021-02-03T12:33:21Z
14,Adrian,Medina,adrian.medina4382@outlook.com,(806) 966-7937,1967-03-06,M,silver,1,2021-02-04T11:44:21Z
15,Cameron,Simpson,cameron.simpson8294@gmail.com,(203) 235-7321,1995-10-10,M,bronze,1,2021-02-06T09:23:15Z
16,Jessica,Murphy,jessica.murphy7364@gmail.com,(337) 709-3875,1969-07-19,F,bronze,1,2021-02-07T17:29:31Z
17,Delilah,Murray,delilah.murray2116@icloud.com,(714) 255-0642,1958-02-26,F,bronze,1,2021-02-07T18:56:08Z
18,Mark,Chavez,mark.chavez7780@yahoo.com,(612) 983-8157,1977-10-10,M,silver,1,2021-02-10T17:15:24Z
19,Kaiden,Patterson,kaiden.patterson4517@gmail.com,(202) 898-5716,1971-03-02,M,silver,1,2021-02-11T19:34:58Z
20,Norma,Myers,norma.myers8880@gmail.com,(914) 791-0479,1965-09-10,F,bronze,1,2021-02-12T06:07:51Z
21,Lucas,Thomas,lucas.thomas5687@icloud.com,(407) 967-7168,1966-10-03,M,bronze,1,2021-02-12T20:08:54Z
22,Evelyn,Li,evelyn.li2445@icloud.com,(812) 908-2039,1982-12-09,F,bronze,1,2021-02-16T13:26:06Z
23,Lisa,Washington,lisa.washington4256@gmail.com,(713) 454-3960,1991-01-20,F,bronze,1,2021-02-17T00:20:57Z
24,Irene,Oliver,irene.oliver1591@google.com,(212) 486-0441,2001-02-11,F,gold,1,2021-02-17T02:19:04Z
25,Riley,Santos,riley.santos3086@gmail.com,(719) 588-5985,1976-12-03,F,bronze,1,2021-02-22T07:14:04Z
26,Kathryn,Mason,kathryn.mason1635@oracle.com,(801) 402-7092,1974-06-12,F,gold,1,2021-02-23T03:00:22Z
27,Tara,Sullivan,tara.sullivan1015@gmail.com,(912) 888-1656,1956-10-08,F,bronze,1,2021-02-25T18:37:33Z
28,April,Daniels,april.daniels2698@gmail.com,(281) 974-5117,1958-10-14,F,silver,1,2021-02-26T22:31:03Z
29,Logan,Wagner,logan.wagner169@gmail.com,(571) 298-5581,1958-03-09,M,bronze,1,2021-02-28T08:09:05Z
30,Eugene,Hughes,eugene.hughes5466@icloud.com,(801) 502-8825,1968-10-20,M,silver,1,2021-03-01T04:05:34Z
31,Dennis,O'Brien,dennis.obrien5047@gmail.com,(302) 525-5276,1975-08-26,M,silver,1,2021-03-02T17:27:42Z
32,Asher,Chambers,asher.chambers4311@gmail.com,(727) 885-3060,1997-01-23,M,silver,1,2021-03-03T07:35:49Z
33,Rowan,Garcia,rowan.garcia2776@gmail.com,(309) 514-8101,1973-10-16,M,bronze,1,2021-03-03T10:46:13Z
34,Tiffany,Guerrero,tiffany.guerrero7329@icloud.com,(757) 203-6874,1999-04-08,F,bronze,1,2021-03-03T11:28:10Z
35,Lydia,Fox,lydia.fox2008@google.com,(321) 431-4719,1976-12-22,F,bronze,1,2021-03-05T09:18:20Z
36,Gregory,Watson,gregory.watson4933@gmail.com,(724) 799-3450,1962-08-15,M,bronze,1,2021-03-06T08:46:15Z
37,Abigail,Hayes,abigail.hayes7918@gmail.com,(515) 208-3879,1963-07-21,F,bronze,1,2021-03-06T14:27:06Z
